task,algorithm,best_eval_mean,best_eval_step,final_eval_mean,final_eval_step,external_reference,external_source,delta_pct,selected_from_new_run,group,seed,num_envs,hidden_sizes,configured_steps,run_dir,fresh_best_eval_mean,fresh_best_eval_step,fresh_run_dir,experiment_name
Pendulum,PPO,-104.99168592047499,100000,-104.99168592047499,100000,-172.225,RL Zoo,39.03806885151691,False,fresh_20260519_204517,123,4,"[256, 256]",100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_ppo,-104.99168592047499,100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_ppo,compare_pendulum_ppo
Pendulum,DDPG,-100.00705094353762,100000,-100.00705094353762,100000,-152.099,RL Zoo,34.2487123889456,False,fresh_20260519_204517,123,1,"[256, 256]",100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_ddpg,-100.00705094353762,100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_ddpg,compare_pendulum_ddpg
Pendulum,TD3,-97.45569035757072,100000,-97.45569035757072,100000,-151.855,RL Zoo,35.823192942233895,False,fresh_20260519_204517,123,1,"[256, 256]",100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_td3,-97.45569035757072,100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_td3,compare_pendulum_td3
Pendulum,SAC,-100.00928593585267,100000,-100.00928593585267,100000,-156.995,RL Zoo,36.29778914242321,False,fresh_20260519_204517,123,1,"[256, 256]",100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_sac,-100.00928593585267,100000,runs/continuous_action_compare/fresh_20260519_204517/pendulum_sac,compare_pendulum_sac
MountainCarContinuous,PPO,96.2069173118485,440320,95.91913955821178,640000,88.343,RL Zoo,8.901573765718275,True,mountain_car_tuning,123,16,"[256, 256]",1000000,runs/continuous_action_compare/mountain_car_tuning/config_only_20260520_1710/ppo_vec16_std1_ent005_norm_lr3e4_1m,-7.859601629725067e-06,230000,runs/continuous_action_compare/fresh_20260519_204517/mountain_car_continuous_ppo,tune_mountain_car_ppo_vec16_std1_ent005_norm_lr3e4_1m
MountainCarContinuous,DDPG,94.03873836510756,220000,93.86801731079822,300000,93.512,RL Zoo,0.5632842470565936,False,fresh_20260519_204517,123,1,"[256, 256]",300000,runs/continuous_action_compare/fresh_20260519_204517/mountain_car_continuous_ddpg,94.03873836510756,220000,runs/continuous_action_compare/fresh_20260519_204517/mountain_car_continuous_ddpg,compare_mountain_car_continuous_ddpg
MountainCarContinuous,TD3,92.82813958786429,40000,-89.89426040420157,60000,93.483,RL Zoo,-0.7005128334945591,True,mountain_car_tuning,123,1,"[400, 300]",300000,runs/continuous_action_compare/mountain_car_tuning/config_only_20260520_1710/td3_sigma25_g9999_ls10000_300k,-99.900001488626,10000,runs/continuous_action_compare/fresh_20260519_204517/mountain_car_continuous_td3,tune_mountain_car_td3_sigma25_g9999_ls10000_300k
MountainCarContinuous,SAC,-4.22798850562818e-06,30000,-5.231987605172116e-05,300000,94.679,RL Zoo,-100.00000446560327,True,sac_half_mse_warmup,123,1,"[256, 256]",300000,runs/continuous_action_compare/sac_half_mse_warmup_20260520_000000/mountain_car_continuous_sac,-1.5868738017078607e-05,280000,runs/continuous_action_compare/fresh_20260519_204517/mountain_car_continuous_sac,compare_mountain_car_continuous_sac
LunarLanderContinuous,PPO,284.69815381251493,1000000,284.69815381251493,1000000,270.863,RL Zoo,5.107804983521165,True,fix_ablation,123,16,"[256, 256]",1000000,runs/continuous_action_compare/fix_ablation/seq_lunar_ppo_advnorm_fg_20260520_171807,123.72587605292765,704512,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_ppo,fix_lunar_ppo_advnorm
LunarLanderContinuous,DDPG,274.86190336045263,425000,155.83655325918477,1000000,230.217,RL Zoo,19.39253111649123,False,fresh_20260519_204517,123,1,"[256, 256]",1000000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_ddpg,274.86190336045263,425000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_ddpg,compare_lunar_lander_continuous_ddpg
LunarLanderContinuous,TD3,273.2128892202407,750000,254.04251298528774,1000000,207.451,RL Zoo,31.699962506924866,False,fresh_20260519_204517,123,1,"[256, 256]",1000000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_td3,273.2128892202407,750000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_td3,compare_lunar_lander_continuous_td3
LunarLanderContinuous,SAC,294.4707791905024,775000,284.35116330065745,1000000,260.39,RL Zoo,13.088359457161344,False,fresh_20260519_204517,123,1,"[256, 256]",1000000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_sac,294.4707791905024,775000,runs/continuous_action_compare/fresh_20260519_204517/lunar_lander_continuous_sac,compare_lunar_lander_continuous_sac
Hopper,PPO,3631.732621872425,550912,2642.7590162932875,1000000,2609.3,Tianshou,39.18417283840206,False,fresh_20260519_204517,123,1,"[256, 256]",1000000,runs/continuous_action_compare/fresh_20260519_204517/hopper_ppo,3631.732621872425,550912,runs/continuous_action_compare/fresh_20260519_204517/hopper_ppo,compare_hopper_ppo
Hopper,DDPG,2983.1174149155618,550000,2219.4960361361505,1000000,2197.0,Tianshou,35.781402590603626,False,fresh_20260519_204517,123,1,"[256, 256]",1000000,runs/continuous_action_compare/fresh_20260519_204517/hopper_ddpg,2983.1174149155618,550000,runs/continuous_action_compare/fresh_20260519_204517/hopper_ddpg,compare_hopper_ddpg
Hopper,TD3,3459.647376829386,975000,3454.8477805554867,1000000,3472.2,Tianshou,-0.36151786102799294,True,fix_ablation,123,1,"[400, 300]",1000000,runs/continuous_action_compare/fix_ablation/seq_hopper_td3_400_300_20260520_2130,1573.4869730949401,900000,runs/continuous_action_compare/fresh_20260519_204517/hopper_td3,fix_hopper_td3_400_300
